;Postagens;Classification
1091;"Eu quero agradecer cada um de voces que fizeram mais esse momento historico acontecer! Eu, Marcus Alexandre e Nazare Araujo estamos ainda mais animados e confiantes que vai valer a pena continuar nessa caminhada pelo futuro do Acre. CONTAMOS COM VOCE! ... Ver mais -- em Palacio Rio Branco
";1
1191;"Para quem ainda nao me conhece, sou Chico Alencar, candidato a deputado federal, numero , porque o momento e grave e a hora exige. O que esta em jogo nessa disputa eleitoral e a sobrevivencia da democracia no Brasil. De hoje ate as eleicoes em de outubro, todos os dias serao decisivos. Precisamos de voce para combater as redes de fake news e o neofascismo, rumo a reconstrucao do pais, sem fome e com justica social. Vamos juntos? Compartilhe essas imagens nas suas r... Ver mais
";1
1312;"Estivemos em Bastos conhecendo uma das maiores granjas produtoras de Ovos do Brasil, as demandas para o setor e muito grande, devemos olhar com carinho para desburocratizar o empreendedor do estado de Sao Paulo e fazer com que o interior seja uma potencia produtora. Essa e a nossa luta!Vamos juntos espalhar o !!!SAO PAULO, rumo a Vitoria! ... Ver mais
";1
1910;"Cada dia mais, a onda Ciro cresce!Hoje Ciro Gomes foi recebido, ouvido e ovacionado por vereadores e prefeitos de todo o Brasil. Vamos seguir juntos por um novo pacto federativo protagonizado por voces e por nossos governadores, com o apoio e a decisao do povo brasileiro.
";1
2009;"Olhar no olho das pessoas... A geracao de empregos para o Oeste Paulista tem que ser uma realidade para transformar a vida das pessoas, precisamos do seu apoio, precisamos do seu voto!Espalhe o !!!SAO PAULO, rumo a Vitoria! ... Ver mais
";1
2011;"Estamos juntos com o nosso governador nesta jornada para transformarmos o estado de Sao Paulo.Agora e fechado com o !!!SAO PAULO, rumo a Vitoria! ... Ver mais
";1
2131;"Hoje pela manha fomos ao Mercado Municipal para uma caminhada e inauguracao do Comite do Nucleo Bandeirante.Estamos na reta final e o apoio que temos recebido ate aqui nos da cada vez mais forca para continuar lutando por um futuro cheio de esperanca para o DF e para o nosso pais. Vamos juntos!... Ver mais
";1
436;"Faltam dias para votar , e Alencar Santana .O amor vai vencer! Vamos juntos pelo Brasil.
";1
616;"Faltam dias pra gente digitar nas urnas e esse pais voltar a encher a gente de orgulho e esperanca.E Lula presidente , Haddad governador e Alencar Santana, nossos federal, !Vamos juntos pelo Brasil e vamos juntos por Sao Paulo.
";1
629;"Faltam dias pra gente votar , com , e Alencar Santana !A ansiedade ta forte! E vamos juntos por Sao Paulo e pelo Brasil!
";1
980;"Faltam dias pra gente digitar nas urnas e esse pais voltar a encher a gente de orgulho e esperanca.E Lula presidente , Haddad governador e Alencar Santana, nossos federal, !Vamos juntos pelo Brasil e vamos juntos por Sao Paulo.... Ver mais
";1
998;"Faltam dias pra gente votar , com , e Alencar Santana !A ansiedade ta forte! E vamos juntos por Sao Paulo e pelo Brasil!... Ver mais
";1
1045;"Faltam dias para digitar nas urnas e fazer nosso Brasil voltar a crescer. Vamos juntos!
";1
1054;"Faltam dias pra gente mudar a cara desse pais, com , e Alencar Santana !Vamos juntos pelo Brasil.
";1
1123;"Faltam dias para votar , e Alencar Santana .O amor vai vencer! Vamos juntos pelo Brasil.... Ver mais
";1
1179;"Pra semana comecar com muito otimismo e esperanca e so lembrar que faltam dias pro dia de outubro, e nos vamos eleger , e Alencar Santana .Vamos juntos pelo Brasil e por Sao Paulo.
";1
1371;"Faltam dias para o Brasil da esperanca voltar. Dia de outubro e , e Alencar Santana !Nos vamos juntos por Sao Paulo e pelo Brasil.
";1
1463;"Faltam dias pra gente votar , e Alencar Santana !Nos vamos juntos por Sao Paulo e pelo Brasil.
";1
1466;"Ja vamos comecar o domingo com uma certeza: faltam so dias pro Brasil ser feliz de novo. Dia de outubro, vamos votar presidente , governador e Alencar Santana , deputado federal!O Brasil da esperanca ta voltando.... Ver mais
";1
1549;"""E faz o L, faz um coracao grandao, desenrola, o Brasil tem jeito"" Faltam dias para votar , e Alencar Santana .
";1
1581;"Fernando Haddad esta pronto para SP e SP esta pronta para Fernando Haddad.Com Lula presidente e Fernando Haddad governador, Sao Paulo vai ser feliz de novo.Vamos juntos! ... Ver mais
";1
2041;"Mais uma semana pra gente comecar com otimismo e sabendo que dias melhores virao.Agora e Lula , Fernando Haddad e Alencar Santana .Vamos juntos pelo Brasil e por Sao Paulo.... Ver mais
";1
2052;"Faltam dias pra votar Lula , Fernando Haddad e Alencar Santana ! Vamos juntos pelo Brasil e por Sao Paulo!
";1
2151;"Bom dia pra quem ja pegou seu cafezinho e ta na contagem regressiva com a gente: Faltam dias pro Brasil ser feliz de novo.~Dia de outubro voce ja sabe, e , Fernando Haddad e Alencar Santana Vem com a gente, vem com Lula! ... Ver mais
";1
2157;"Sextou faltando dias pra gente votar e mudar a cara desse pais e de Sao Paulo. Vamos juntos com Lula Fernando Haddad e Alencar Santana !
";1
2168;"Vamos animar esse domingo?Conta ai nos comentarios de que cidade voce vai digitar no dia de outubro!Bora com , , e Alencar Santana !... Ver mais
";1
2191;"Falta pouco! Agora sao so dias pra votar .Vamos juntos pelo Brasil com e em Sao Paulo vamos com e Alencar Santana !
";1
2192;"Passando pra lembrar que faltam dias pra votar Lula presidente, Haddad governador e Miriam deputada estadual!O Brasil vai voltar a sorrir. Segundou, galera! Boa semana! ... Ver mais
";1
341;"Toda vez que for ao posto de combustiveis, lembre-se de qual partido era o chefe da quadrilha que desmontou a Petrobras.Via Altineu Cortes SUPER RADIO TUPI (Instagram)
";2
861;"Toda vez que for ao posto de combustiveis, lembre-se de qual partido era o chefe da quadrilha que desmontou a Petrobras.Via Altineu Cortes SUPER RADIO TUPI (Instagram)... Ver mais
";2
325;"Bateu o desespero na esquerda! Por Barbara // Torne-se um MEMBRO ASSINANTE da nossa pagina e ajude-nos a manter nossos conteudos no AR! 
";0
864;"Bateu o desespero na esquerda! Por Barbara // Torne-se um MEMBRO ASSINANTE da nossa pagina e ajude-nos a manter nossos conteudos no AR! ... Ver mais
";0
0;"Se vai ter vira-vira Ciro?Ja esta tendo!Nao queremos mais apanhar, queremos avancar!
";1
1;"Um aluno de meio-ambiente pergunta sobre as acoes da pasta e o presidente reage assim. Ainda tem gente que quer reeleger esse sujeito.
";1
2;"Nova lei de
";1
3;"Eduardo Moreira
";1
4;"Eduardo Moreira explica a lei inglesa que inspirou a ""lei anti-ganancia"" proposta por Ciro Gomes.
";1
5;"Ai sim...aula.
";1
6;"Ferraco Marcondes
";1
7;"Hj tem ""aulas"" .Teresa Anquetin Teresa Anquetin
";1
9;"Tico Santa Cruz
";1
10;"Achei a entrevista do Ciro pro JN muito melhor que a que ele ofereceu no Roda Viva. Gosto das ideias. Acho que sua candidatura e a melhor opcao para o pais. Na
";1
11;"A vdd e que gostei das Propostas Do Ciro de sua educacao e inteligencia Agora fiquei indecisa
";1
12;"Lindemberg Oliveira Maia
";1
13;"Bom dia a todos......
";1
14;"E bonito demais ver gente inteligente falando, com objetividade, sem colinha na mao, sem mentiras, mas com consciencia de quem conhece a politica brasileira como ninguem.Tamo junto, Cirao!!!
";1
15;"Ciro da uma aula novamente e explica o porque da alta de precos e como fara para resolver o problema da inflacao
";1
16;"A desonestidade dos jornalistas Brasileiros pra defender os acionistas e banqueiros do pais e a coisa mais escrota dentro dessa falsa democracia.
";1
17;"Mais uma vez Ciro Gomes quebra a banca! Que aula de politica vimos hoje no Jornal Nacional! Parabens Ciro! Sou mais voce.
";1
18;"E CIRIO OUTRAS VEZVIVA NOSSA SENHORA DE NAZARE
";1
19;"Bolsonaro, sempre violento qdo nao tem controle das pessoas. Vergonha desse ser... Esse senhor nao tem se quer educacao para ocupar a cadeira que ocupa...
";1
22;"Video de . Bolsonaro desmente Bolsonaro. Tudo isso nao passa de um grande teatro pra terceirizar a culpa. Ainda bem que video na net nao tem prazo de validade, ne? Como esse sujeito consegue enganar tanta gente, hein?
";1
24;"Prazer... eleitora do Ciro!
";1
25;"E SO O INICIO...
";1
26;"Esse sim em
";1
27;"Sheila Moreira
";1
28;"Dar logo a faixa a esse cara, que ele vai saber o que fazer
";1
29;"Hoje Ciro dancou na casa da Globo e mostrou quem e capacitado com o melhor e unico projeto
";1
30;"Nao precisa de cola na mao o mais preparado, indiscutivel! Ciro Gomes
";1
32;"Vamos juntos e juntas mudando o cenario politico da nossa nacao brasileira Luma Menezes
";1
33;"Se todo mundo votar no Ciro e apostar que ele vai ser o proximo presidente, ele vira presidente e a todo mundo fica milionario juntosSigam para mais dicas de apostas
";1
34;"Ciro e o candidato mais preparado.Isso e INCONTESTAVEL!
";1
36;"O problema do Ciro e q ele e inteligente..O problema do Ciro e q ele fala bem..O problema do Ciro e q ele tem mtas propostas..O problema do Ciro sao coisas q eu nao enxergo como problemas... impressionante como sao as desculpas para votar nos outros. Ciro Gomes
";1
38;"Ciro x Sergio Moro, Parte 
";1
39;"Cagou kg certinho !
";1
40;"URSAL
";1
41;"Sim e verdade, Jair arregao do debate.
";1
42;"O novo vilao das criancas . ..
";1
43;"A esperanca e l
";1
44;"A vice do Ciro doutora Ana Paula Matos e muito mais preparada que Lula e Bolsonaro juntos.
";1
45;"Ciro desmascara a injustica na cobranca dos impostos no Brasil Siga 
";1
46;"-SEBOLSONARO_FODA-SELULA
";1
47;"Pergunta de milhao de reais.
";1
48;"O Jornal Nacional recebe nesta terca (), as h, o candidato a Presidencia da Republica Ciro Gomes. William Bonner e Renata Vasconcellos conduzem a entrevista ao vivo, direto dos Estudios Globo, no Rio, com transmissao por TV Globo, Globo Play e g - O Portal de Noticias da globo:
";1
49;"Ciro, o terror dos neoliberais.
";1
50;"Sabatina de Ciro Gomes ao jornal nacional dia //.
";1
51;"Ciro desmascara mais uma fakenews da familia Bolsonaro.
";1
52;"O homem e preparado e tem projeto. Eu olho para o futuro e o futuro precisa de um projeto nacional de desenvolvimento
";1
53;"Antonio Neto BOLSONARO E LULA FOGEM, E DEBATE E CANCELADO! tem toda razao em cobrar a participacao de Bolsonaro e Lula nos debates.
";1
54;"Te liga Patriota! Bora! projeto de nacao e nao projeto de poder.
";1
56;"+ uma vez: se o Ciro Gomes tambem derrota o Bolsonaro no o turno, pq raios alguem tem que votar no Lula no o turno alegando que ""Lula e a unica opcao""?Vamos de Ciro mesmo.
";1
57;"Meu futuro presidente deu um show de democracia..
";1
58;"Tudo pronto para assistir o melhor e mais preparado para gerir o pais.
";1
60;"Ciro Gomes em Sao Goncalo RJ. 
";1
61;"E so ter bom senso. Loola ja foi Presidente , Bozo tbm. Vamos dar chance a uma Idea nova, uma nova proposta. 
";1
62;"Ciro tem q falar mais dessa proposta de acabar com sigilo fiscal e bancario de futuro membros do seu governo.Povao nao aguenta mais politicos corruptos, tanta impunidade e privilegios dos politicos.
";1
63;"Ciro sobre o tom contra Bolsonaro: ""voce vai sair, v!
";1
64;"Nadou de bracada! Parabens, Ciro! Ciro Gomes
";1
65;"Cirao da Massa, Cabo Daciolo e Rodrigo Neves por um Projeto Nacional de Desenvolvimento.... 
";1
66;"Esta acontecendo!
";1
68;"Foi de uma desonestidade enorme, jornalistas vendidos ao sistema financeiro...
";1
69;"E hoje, o dia e hoje! Vamos pra cima, Cirao!
";1
70;"Depois dessa entrevista do Ciro no JN eu teria vergonha de dizer que voto no Bolsonaro!!
";1
71;"HOJE E O CIRAO, SE VCS NAO APRENDEREM O QUE E PLANO DE GOVERNO NAO APRENDEM MAIS.
";1
73;"Isso e um motivo de imenso orgulho.
";1
74;"E hoje Cirao no Jornal Nacional!
";1
75;"A democracia e boa, mas tem certos custos
";1
76;"ANOTA NA AGENDA! Nesta terca-feira, as h, Ciro na bancada do JN com William Bonner e Renata Vasconcellos.
";1
77;"Ciro depois da sabatina do JN!
";1
78;"Tomem mais.
";1
79;"Paulo Paulo
";1
80;"Vladimir Safatle mostrando que Loola e o PT praticaram politica neoliberal.Sao de esquerda so na teoria, na pratica alimentaram o rentismo e deram esmola pra classe trabalhadora.
";1
81;"A pergunta que nao quer calar!!Voce conhece alguma grande obra feita por Bolsonaro?
";1
82;"Ele sempre avisou.
";1
83;"Bolsonaro e corrupto? Ciro responde.
";1
84;"Kajuru na convencao da candidatura da futura governadora Leila.
";1
85;"Sobre o tamanho do estado! 
";1
87;"Ciro alcanca % e desafia de vez a polarizacao.
";1
88;"Eu defendo o Brasil!
";1
89;"Mas o que importa e que ele come frango parecendo um porco.
";1
90;"Ele fala isso com toda naturalidade do mundo. Sera que ainda nao perceberam o quao nocivo e esse sujeito pro pais? .
";1
91;"Parabens, nao e feio assumir que errou, pelo contrario, e ate nobre. Feio mesmo e tentar defender o indefensavel. Bolsonaro e, acima de tudo, um traidor do povo brasileiro.
";1
92;"E isso mesmo que voce ta lendo, estao vendendo uma refinaria no Ceara pelo preco que e quase o mesmo valor do terreno. Parece ate uma piada, ne? Mas nao, sao esses canalhas delapidando o patrimonio nacional.
";1
94;"Ela e afrontosa, ela. Que mulher! . Siga-nos no Instagram:
";1
95;"Agora Bolsonaro e favor de politicas assistencialistas so pq estamos a meses das eleicoes. Ainda bem que videos nao se perdem na internet. Vamos ver o que ele achava dessas politicas antes?
";1
96;"Sem duvidas! Sera que tem alguem satisfeito com isso? .Siga-nos no Instagram:
";1
97;"As pesquisas nao mentem, Ciro so cresce. E o unico que ameaca a polarizacao que jogou o pais no atraso. Nao quer Lula? Nao quer Bolsonaro? Sua melhor chance e o Ciro.
";1
99;"Com Ciro e assim, nao tem conversa. Ele manda logo a real do que vai fazer. Doa a quem doer, enfrenta o que tem que ser enfrentado. Por somos
";1
100;"Ciro tem um projeto pro pais.
";1
101;"CONSIDERACOES FINAIS DE NOSSO PRESIDENTE A NOS 
";1
102;"Desmascarando a mentira e a hipocrisia da .
";1
103;"BOLSONARO NO JORNAL NACIONAL ACABOU DE SER REELEITO PRESIDENTE DO BRASIL
";1
104;"Junior Almeida Cpdi
";1
106;"Ordem e progresso Deus, Familia e Patria Brasileira
";1
107;"Max Miranda
";1
108;"Festa em Campina GrandeEleitores do Lula comemorando a chegada do candidato.Sumiram algumas carteiras e celulares, mas nada como tomar uma ceverginha!
";1
109;"Cada dia mais fa do Bolsonaro.Siga nosso
";1
110;"VAI SER NO PRIMEIRO TURNO. GRUPO: Apoio ao Brasil
";1
111;".de.direitaPelo menos dessa vez ele tem razao! .
";1
113;"O odio do Bonner e tao nitido que chega a me dar nausea!!! Emissora decadente, que esta com seus dias uteis contados ja! Nao adianta insinuar nada!!! O cara e limpo! O cara e correto! Minha vontade era chegar la, pegar o Biroliro pela e mao e dizer: ""venha tesouro, nao se junte com essa gentalha!!!""
";1
115;"O Presidente enfrentou os globais e desmascarou a c desses dois jornalixos militantes, desonestos intelectualmente falando!!
";1
116;"Jair Messias Bolsonaro, compromisso com a constituicao a democracia e os direitos do povo brasileiro Unidos pelo BrasilCoragem e determinacao Patria amada Brasil Nossa bandeira jamais sera vermelha
";1
117;"Mais uma vez o povo brasileiro mostrou sua cara, estamos cansados de corruptos e protetores de bandidos. Mais de cidades, milhoes de guerreiros nas ruas... O BRASIL ESTA ALERTA!!!
";1
120;"E HOJE - SERVIDORES PUBLICOS COM BOLSONARO - Salvador/BAQUANDO: Quarta-feira - /AGOHORARIO: hONDE: Grand Hotel Stela Maris - Bairro de Stella Mares - Salvador-Ba
";1
121;"FechadocombolsonaroOrdem e progressoBolsonaroReeleitoDeus, Familia e Patria Brasileira
";1
123;"Melhor definicao do PT em apenas segundos.
";1
124;"Desembargador pede aposentadoria e cita que STF e Alexandre de Moraes nao representa mais ele
";1
126;"Com a palavra o vice do LULA
";1
127;"Espero todos voces para inauguracao do comite oficial do candidato a deputado federal Isaac Antunes e do Presidente Bolsonaro, nesta sexta-feira, de agosto.Atenderemos Ribeirao Preto e regiao.Vai ocorrer das h as : na Avenida Francisco Junqueira, .
";1
129;"No maior colegio eleitoral do pais, SP, Bolsonaro dispara. Grande dia! Brasil no rumo certo!
";1
131;"Reuniao almoco em Taquara com familias patriotas. Vamos com alegria pintar de verde e amarelo, o Rio Grande e o Brasil.
";1
132;"Se alguem precisava de alguma prova de que o jornalismo brasileiro morreu, teve ontem. Um horror. ELEITORAL * RODINEI CANDEIA * REPUBLICANOS * CAND.
";1
133;"Jair Messias Bolsonaro TRANSPOSICAO DO RIO SAO FRANCISCO: Ceara, Piaui, Alagoas, Rio Grande do Norte, Pernambuco, Paraiba...
";1
134;"Michele Bolsonaro esta sendo muito bem avaliada e ja e a Primeira Dama mais linda do universo nossa pagina Julio Cesar Rodrigues
";1
135;"Quanto mais tentam difamar o presidente, mais a verdade aparece aos olhos de todos. O povo brasileiro nao aceita injustica. Por isso, quanto mais batem em Bolsonaro, mais ele cresce! Se continuarem assim, sera no primeiro turno!
";1
137;"BAHIA!!! Sem precisar de montagem no Photoshop como fez o Lula. .zambelli
";1
139;"Quando o bixo ta pegando , e de um cara desses que queremos na vida real
";1
142;"Quando eles deixavam Bolsonaro falar era assim:
";1
144;"Uniao de Lula e Alckmin e o mesmo que acreditar que Fernandinho Beira-Mar e Marcola vao combater o narcotrafico no Brasil
";1
145;"Vamos que vamos!!!!
";1
148;"A reeleicao do Bolsonaro ta ficando cada vez mais facil.O Calca Apertada nao ganha nem eleicao pra sindico.
";1
149;"Band Jornalismo
";1
150;"Joao Doria, governador de Sao Paulo, ganha as primarias do PSDB para candidato a Presidencia da Republica em hoje em Brasilia.
";1
151;"Bom dia!!!!
";1
152;"Aqui e horas por dia de segunda a segunda, bora pra cima mudar nosso interiorzao e o Brasil! ...
";1
153;"Urgente!O Governador Joao Doria acaba de anunciar sua desistencia da campanha presidencial e aumenta favoritismo de Jair Bolsonaro para releicao ,novas pesquisas ja ve grande aumento do presidente para disputa eleitoral .
";1
154;"Vai ser no primeiro turno! Eu estou com Bolsonaro e voce?
";1
155;"Neste SABADO, participe do nosso Adesivaco! PIT STOP DO NAATZ, JORGINHO e BOLSONARO R. Paulo Zimmermann, - Centro, Blumenau - SC, - Sabado, de Agosto, a partir das h.
";1
156;"So estou ligada na hoje por um motivo especial,
";1
157;"O povo entendeu !!!Mesmo com inflacao de dois digitos O Brasil nao abandona nosso principal escoteiro !Valeu Presidente !O Brasil e top !
";1
161;"Se voce torce para uma SC mais forte, mais desenvolvida e com mais oportunidades esse recado e para voce!
";1
162;"A verdade sempre prevalece e aos poucos as vendas vao caindo dos olhos das pessoas de boa vontade. Parabens a jornalista Carla Cecato por sua coragem e honestidade.Nao ha como negar: ""e conhecereis a verdade e a verdade vos libertara."" (Jo ,)
";1
163;"Bolsonaro na globo agoraAi e osso eimmm.
";1
165;"Nao deixe de ir pra rua, vista-se de verde e amarelo e exponha TODO SEU AMOR PELO BRASIL. Nao da pra ter outra escolha se nao o nas urnas!!!
";1
166;"Com a saida de Joao Doria ,Ciro Gomes se torna o principal aliado do Presidente Bolsonaro para decidir de vez a vitoria no primeiro Turno e livrar o Brasil de vez da onda esquerdista. Segue nossa paginaJulio Cesar Rodrigues Tv Taiobeiras
";1
168;"Sou de Mairipora SP sou % Bolsonaro
";1
169;"Jair Messias Bolsonaro Para combater o desmatamento ilegal, queimadas e incendios florestais, proteger as terras indigenas e desmantelar organizacoes criminosas, e executada, desde , a Operacao Guardioes do Bioma, de forma permanente, e conta com a atuacao integrada de orgaos federais e estaduais. Sao tres eixos de atuacao: - combate ao desmatamento ilegal, 
";1
170;"Para deputado federal vote ADEMAR MEIRELES !
";1
175;"REELEICAO GARANTIDA
";1
176;"Lugar de ladrao e na cadeia!!!..
";1
177;"AI MEU AMIGO VAI VOTA EM QUEM ?VOL VOTAR EM BOLSONARO !EU TAMBEM EU TAMBEM !
";1
178;"deg ADESIVACO CAPITAO CONTAR GOVERNADOR!Vem colar com a gente NESTE DOMINGO, dia DE AGOSTO a partir das h!
";1
181;"Bolsonaro mais do que nunca precisa do nosso apoio. Ele pode contar com voce?
";1
182;"O GATO E O RATO SEMPRE ESTIVERAM JUNTOS, SO MENTIRAM PRA VOCE DURANTE ANOS.
";1
183;"Com todo respeito a essePais que nos acolheu e nos acolhe tao bem, mas, amamos o nosso Pais , o nosso Presidente e acreditamos na sua vitoria PR.
";1
186;"Deputado Federal Valdecir Paulus fechado com BOLSONARO Presidente ..
";1
187;"Globo lixo, sendo Globo lixo!!!!
";1
189;"Isso o q vcs sao, dois palhacos, sem ofensa aos verdadeiros palhacos
";1
190;"Andre Barros
";1
191;"Nunca foi tao facil escolher!
";1
192;"Melhor presidente que o Brasil ja teve!
";1
193;"Bolsonaro preocupado com entrevista na Globo, logo mais... FechadocombolsonaroOrdem e progressoBolsonaroReeleitoDeus, Familia e Pat
";1
195;"Pessoal, nem precisa de legenda. Deixo os comentarios com voces.**
";1
197;"Movimento gigante em prol do PT e de Lula em Joao Pessoa. Transito congestionado e pessoas espremidas devido a grande quantidade de gente. Kkkkkkkkkkkkk
";1
198;"A Folha de Sao Paulo recebeu, durante os governos petistas, cerca de R$ milhoes dos cofres publicos. O estudo foi publicado pelo jornalista Rodrigo Constantino.Curioso e que a esquerda acusa, hoje, a Jovem Pan de ser vendida.Tenente Rogerio Silva Diretor B- SP 
";1
199;"nao sou eleitor, sou e fa do bolsonaro
";1
200;"Nossa liberdade e inegociavel, todo o cidadao de bem deve ter o direito de fazer a defesa da sua propria familia.
";1
202;"E HOJE, participe do nosso Adesivaco!ADESIVACO DO NAATZ, JORGINHO e BOLSONARO R. Paulo Zimmermann, - Centro, Blumenau - SC, -
";1
203;"Para o Brasil avancar, nao basta apenas reeleger nosso Presidente Bolsonaro!Temos que eleger Deputados Estaduais e Federaisque estao alinhados com ele 
";1
204;"Hoje tem Bolsonaro no Jornal Nacional, a partir das h. Ja preparem a pipoca!Vai ser recorde de audiencia!
";1
205;"Bora assistir a globo pela ultima vez.
";1
206;"As americas voltarao a ser grandes novamente!Os maiores lideres que defende a liberdade, familia e a Patria!
";1
208;"Deus seja louvado pela vida dos nossos lideres Bispo Samuel Ferreira e Bispa
";1
209;"E serio tem gente que ainda tem duvida?
";1
210;"Casa Bolsonaro a todo vapor, h inauguracao. Aracatuba 
";1
211;"setembro e noisss!!!!
";1
212;"Patriota, pega essa visao de mudanca de verdade e avisa Lah que Lahesio Bonfim sera o nosso proximo governador!Se envolva para que, juntos, vivamos o novo!Essa luta so termina com a nossa vitoria, vamos pra cima! 
";1
213;"Ontem tive o imenso prazer de apertar a mao do Presidente da Republica e claro aproveitei pra registrar o momento.
";1
214;"FOI DADA A LARGADA! Para Deputado Federal e Tenente-coronel Zucco : dez do Republicanos e do Bolsonaro. Estamos resgatando o Brasil decente e precisamos tornar essas conquistas permanentes. DO LADO CERTO PELO BRASIL!
";1
218;"Barretos sao Paulo //...Show de bola.
";1
219;"Como pode um homem tao ruum assim!Jair Messias Bolsonaro
";1
220;"Dizer que a igreja e mafia, serei a resistencia a tudo isso. Convocamos voce cristao, pessoa do bem a nos ajudar votando no Pastor Max Miller para Deputado Federal no RJ!.....
";1
221;"BOLSONARO NO FLOW PODCAST! Por Bastidores do Brasil //Ajudem o Perci Wild , o PM HEROI: um MEMBRO ASSINANTE e ajude nosso trabalho! 
";1
222;"E onde sao feitas as pesquisas DATAFOLHA?Na porta da cadeia! Contra fatos nao ha argumentos!
";1
223;"Live de Hoje // Quinta - Feira o Presidente Jair Messias Bolsonaro direto de Brasilia. -- em Brasilia DF
";1
224;"Quando uma crianca sabe muito mais que muitos adultos! Vote no Time do Bolsonaro...Deputado Federal Dr Vinicius Dep
";1
226;"Vale a pena ver de novo!
";1
227;"COMICIO DE BOLSONARO EM CONQUISTA DIA /Conquista vai receber o candidato a reeleicao para presidente da Republica Jair Bolsonaro, no proximo dia .O evento esta sendo articulado por liderancas bolsonaristas de Vitoria da Conquista .
";1
229;"O presidente falou e todo mundo ja sabe, o PRONAMPE, programa criado por mim, ajudou muita gente a se manter durante a pandemia!Nos realmente lutamos pelo povo.! Vote 
";1
230;"Bora irritar petista?Boraaaaaaa 
";1
231;"Convocacao para o Grito de Liberdade!!!!!
";1
232;"DEPOIS DA ENTREVISTA DO JORNAL NACIONAL Em Marechal Hermes.- Rio/RJ, /agosto, hs. O SUPREMO E O POVO 
";1
234;"E foi assim que ele chegou a presidencia da Republica!Com mentiras, falsas promessas e roubando a esperanca do povo brasileiro.
";1
236;"Com um jornalismo em estado catatonico, Globo transforma sabatina em desesperada e frustrada tentativa de lacracao. 
";1
